2026-04-16 20:54:26 | supervisor           | INFO     | ============================================================
2026-04-16 20:54:26 | supervisor           | INFO     | AUTONOMOUS DEVELOPMENT SYSTEM STARTING
2026-04-16 20:54:26 | supervisor           | INFO     | ============================================================
2026-04-16 20:54:26 | agents.shared.memory | INFO     | Memory manager initialized
2026-04-16 20:54:26 | agents.hermes.strategist | INFO     | Hermes agent started
2026-04-16 20:54:26 | main                 | ERROR    | Fatal error: 
Traceback (most recent call last):
  File "C:\Users\salio\OneDrive\Desktop\KARIÞIK\SPOR UYGULAMA\autonomous-system\main.py", line 42, in main
    await supervisor.start()
  File "C:\Users\salio\OneDrive\Desktop\KARIÞIK\SPOR UYGULAMA\autonomous-system\supervisor.py", line 82, in start
    loop.add_signal_handler(sig, lambda: asyncio.create_task(self.shutdown()))
  File "C:\Users\salio\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py", line 578, in add_signal_handler
    raise NotImplementedError
NotImplementedError
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: task_assign from hermes to clawbot
2026-04-16 20:55:19 | supervisor           | INFO     | Cycle 1: 57 tasks dispatched
2026-04-16 20:55:19 | agents.clawbot.builder | INFO     | Branch created: code_quality/task/0055
2026-04-16 20:55:19 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:19 | supervisor           | INFO     | Task TASK-0055 revision 1/2
2026-04-16 20:55:20 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:20 | supervisor           | INFO     | Task TASK-0055 revision 2/2
2026-04-16 20:55:20 | supervisor           | WARNING  | Task TASK-0055 failed review after 2 revisions
2026-04-16 20:55:20 | agents.clawbot.builder | INFO     | Branch created: test_coverage/task/0056
2026-04-16 20:55:20 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:20 | supervisor           | INFO     | Task TASK-0056 revision 1/2
2026-04-16 20:55:20 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:20 | supervisor           | INFO     | Task TASK-0056 revision 2/2
2026-04-16 20:55:20 | supervisor           | WARNING  | Task TASK-0056 failed review after 2 revisions
2026-04-16 20:55:20 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0041
2026-04-16 20:55:20 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:20 | supervisor           | INFO     | Task TASK-0041 revision 1/2
2026-04-16 20:55:20 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:20 | supervisor           | INFO     | Task TASK-0041 revision 2/2
2026-04-16 20:55:21 | supervisor           | WARNING  | Task TASK-0041 failed review after 2 revisions
2026-04-16 20:55:21 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0042
2026-04-16 20:55:21 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:21 | supervisor           | INFO     | Task TASK-0042 revision 1/2
2026-04-16 20:55:21 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:21 | supervisor           | INFO     | Task TASK-0042 revision 2/2
2026-04-16 20:55:21 | supervisor           | WARNING  | Task TASK-0042 failed review after 2 revisions
2026-04-16 20:55:21 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0043
2026-04-16 20:55:21 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:21 | supervisor           | INFO     | Task TASK-0043 revision 1/2
2026-04-16 20:55:22 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:22 | supervisor           | INFO     | Task TASK-0043 revision 2/2
2026-04-16 20:55:22 | supervisor           | WARNING  | Task TASK-0043 failed review after 2 revisions
2026-04-16 20:55:22 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0044
2026-04-16 20:55:22 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:22 | supervisor           | INFO     | Task TASK-0044 revision 1/2
2026-04-16 20:55:22 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:22 | supervisor           | INFO     | Task TASK-0044 revision 2/2
2026-04-16 20:55:22 | supervisor           | WARNING  | Task TASK-0044 failed review after 2 revisions
2026-04-16 20:55:22 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0045
2026-04-16 20:55:23 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:23 | supervisor           | INFO     | Task TASK-0045 revision 1/2
2026-04-16 20:55:23 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:23 | supervisor           | INFO     | Task TASK-0045 revision 2/2
2026-04-16 20:55:23 | supervisor           | WARNING  | Task TASK-0045 failed review after 2 revisions
2026-04-16 20:55:23 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0046
2026-04-16 20:55:23 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:23 | supervisor           | INFO     | Task TASK-0046 revision 1/2
2026-04-16 20:55:23 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:23 | supervisor           | INFO     | Task TASK-0046 revision 2/2
2026-04-16 20:55:24 | supervisor           | WARNING  | Task TASK-0046 failed review after 2 revisions
2026-04-16 20:55:24 | agents.clawbot.builder | INFO     | Branch created: refactor/task/0047
2026-04-16 20:55:24 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:24 | supervisor           | INFO     | Task TASK-0047 revision 1/2
2026-04-16 20:55:24 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:24 | supervisor           | INFO     | Task TASK-0047 revision 2/2
2026-04-16 20:55:24 | supervisor           | WARNING  | Task TASK-0047 failed review after 2 revisions
2026-04-16 20:55:24 | agents.clawbot.builder | INFO     | Branch created: infrastructure/task/0048
2026-04-16 20:55:24 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:24 | supervisor           | INFO     | Task TASK-0048 revision 1/2
2026-04-16 20:55:24 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:24 | supervisor           | INFO     | Task TASK-0048 revision 2/2
2026-04-16 20:55:25 | supervisor           | WARNING  | Task TASK-0048 failed review after 2 revisions
2026-04-16 20:55:25 | agents.clawbot.builder | INFO     | Branch created: infrastructure/task/0049
2026-04-16 20:55:25 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
2026-04-16 20:55:25 | supervisor           | INFO     | Task TASK-0049 revision 1/2
2026-04-16 20:55:25 | agents.shared.message_bus | INFO     | Message sent: revision_request from hermes to clawbot
